
13:51:06 -  >> 24/2

13:51:14 -  >> Plantacao 1 - Galega - 2 - 3
13:51:16 -  >> Plantacao 1 - Galega - 2 - 5
13:51:18 -  >> Plantacao 2 - Galega - 4 - 4
13:51:21 -  >> Plantacao 4 - Cordovil - 6 - 3
13:51:23 -  >> Plantacao 5 - Picual - 7 - 3
13:51:23 -  >> Plantacao 4 - Cordovil - 2 - 8
13:51:26 -  >> Plantacao 3 - Cordovil - 3 - 6
13:51:26 -  >> Plantacao 3 - Cordovil - 8 - 5
13:51:28 -  >> Plantacao 1 - Galega - 5 - 7
13:51:28 -  >> Plantacao 1 - Galega - 2 - 7
13:51:33 -  >> Plantacao 2 - Galega - 7 - 8
13:51:35 -  >> Plantacao 4 - Cordovil - 7 - 7
13:51:36 -  >> Plantacao 1 - Galega - 3 - 12
13:51:36 -  >> Plantacao 5 - Picual - 8 - 7
13:51:39 -  >> Plantacao 2 - Galega - 4 - 14
13:51:41 -  >> Plantacao 4 - Cordovil - 5 - 14
13:51:43 -  >> Plantacao 3 - Cordovil - 7 - 14
13:51:44 -  >> Plantacao 2 - Galega - 5 - 16
13:51:45 -  >> Plantacao 3 - Cordovil - 4 - 18
13:51:49 -  >> Plantacao 4 - Cordovil - 4 - 17
13:51:51 -  >> Plantacao 5 - Picual - 8 - 18
13:51:52 -  >> Plantacao 1 - Galega - 8 - 18
13:51:53 -  >> Plantacao 4 - Cordovil - 2 - 21
13:51:53 -  >> Plantacao 2 - Galega - 4 - 21
13:51:55 -  >> Plantacao 4 - Cordovil - 2 - 20
13:51:56 -  >> Plantacao 5 - Picual - 4 - 22
13:51:57 -  >> Plantacao 1 - Galega - 4 - 21
13:52:00 -  >> Plantacao 5 - Picual - 3 - 20
13:52:00 -  >> Plantacao 2 - Galega - 4 - 21
13:52:01 -  >> Plantacao 3 - Cordovil - 6 - 21
13:52:02 -  >> Plantacao 5 - Picual - 2 - 20
13:52:02 -  >> Plantacao 4 - Cordovil - 2 - 21
13:52:04 -  >> Plantacao 5 - Picual - 2 - 20
13:52:05 -  >> Plantacao 2 - Galega - 4 - 20
13:52:07 -  >> Plantacao 2 - Galega - 2 - 20
13:52:08 -  >> Plantacao 3 - Cordovil - 6 - 19
13:52:11 -  >> Plantacao 1 - Galega - 7 - 21
13:52:12 -  >> Plantacao 1 - Galega - 4 - 20
13:52:13 -  >> Plantacao 4 - Cordovil - 6 - 21
13:52:17 -  >> Plantacao 5 - Picual - 6 - 21
13:52:19 -  >> Plantacao 3 - Cordovil - 7 - 21
13:52:19 -  >> Plantacao 2 - Galega - 6 - 20
13:52:19 -  >> Plantacao 5 - Picual - 2 - 19
13:52:23 -  >> Plantacao 4 - Cordovil - 4 - 16
13:52:25 -  >> Plantacao 4 - Cordovil - 6 - 18
13:52:25 -  >> Plantacao 1 - Galega - 6 - 17
13:52:29 -  >> Plantacao 2 - Galega - 6 - 15
13:52:31 -  >> Plantacao 5 - Picual - 6 - 14
13:52:32 -  >> Plantacao 3 - Cordovil - 7 - 13
13:52:36 -  >> Plantacao 1 - Galega - 7 - 12
13:52:38 -  >> Plantacao 4 - Cordovil - 7 - 11
13:52:38 -  >> Plantacao 2 - Galega - 6 - 10
13:52:42 -  >> Plantacao 4 - Cordovil - 4 - 7
13:52:43 -  >> Plantacao 3 - Cordovil - 7 - 9
13:52:46 -  >> Plantacao 5 - Picual - 8 - 8
13:52:49 -  >> Plantacao 2 - Galega - 6 - 5
13:52:50 -  >> Plantacao 1 - Galega - 8 - 6
13:52:52 -  >> Plantacao 1 - Galega - 3 - 3
13:52:52 -  >> Plantacao 3 - Cordovil - 6 - 4
13:52:56 -  >> Plantacao 4 - Cordovil - 6 - 2
13:53:00 -  >> Plantacao 5 - Picual - 8 - 1
13:53:00 -  >> Plantacao 2 - Galega - 8 - 0
